school_type,grade_level,subject,gender,score,study_hours,pass_rate
Charter,Grade 11,English,Male,52.63,3.91,0.565
Public,Grade 11,PE,Male,53.27,7.1,0.516
Public,Grade 10,Computer Science,Male,90.15,6.02,0.881
Public,Grade 9,Math,Male,92.37,4.91,0.827
Public,Grade 8,Math,Female,43.52,2.84,0.486
Charter,Grade 6,PE,Male,50.83,4.16,0.563
Charter,Grade 9,English,Male,82.52,5.04,0.9
Private,Grade 6,Math,Female,59.34,5.09,0.659
Charter,Grade 10,History,Male,45.45,4.76,0.422
Private,Grade 10,Art,Female,69.37,6.94,0.674
Public,Grade 9,Science,Female,86.98,4.51,0.819
Public,Grade 6,Music,Male,57.88,6.12,0.524
Private,Grade 10,Art,Female,77.77,7.64,0.747
Charter,Grade 8,Art,Male,44.1,5.51,0.369
Charter,Grade 8,English,Female,95.07,7,0.946
Private,Grade 8,PE,Male,44,6.99,0.405
Charter,Grade 6,History,Female,81.44,2.84,0.836
Private,Grade 8,PE,Male,99.96,2.54,0.982
Charter,Grade 11,Science,Female,96.39,2.71,0.922
Public,Grade 10,PE,Female,59.41,5.63,0.624
Charter,Grade 11,PE,Male,96.51,4.87,0.924
Private,Grade 9,Computer Science,Female,53.69,5.19,0.454
Public,Grade 9,History,Female,67.35,1.31,0.582
Charter,Grade 7,History,Female,59.93,1.38,0.66
Private,Grade 6,History,Female,94.57,4.86,0.92
Private,Grade 9,Art,Male,82.39,2,0.853
Charter,Grade 9,English,Male,86.94,7.72,0.812
Private,Grade 11,Math,Female,46.81,7.93,0.468
Charter,Grade 6,English,Female,52.64,2.25,0.469
Private,Grade 8,English,Male,54.38,0.96,0.538
Private,Grade 7,Science,Female,45.49,0.78,0.429
Public,Grade 10,Math,Female,62.96,4.92,0.663
Charter,Grade 6,Art,Female,75.65,5.57,0.671
Private,Grade 11,English,Male,41.06,5.9,0.5
Charter,Grade 7,Computer Science,Male,95.38,4.19,0.915
Public,Grade 6,Art,Female,77.99,4.83,0.778
Public,Grade 7,History,Male,78.2,1.68,0.814
Public,Grade 7,PE,Female,49.98,5.43,0.491
Private,Grade 6,History,Female,75.48,4.62,0.693
Public,Grade 10,Science,Male,72.44,5.64,0.783
Private,Grade 7,Art,Female,81.21,2.33,0.737
Public,Grade 6,PE,Female,70.68,7.79,0.619
Public,Grade 10,Science,Female,72.12,3.33,0.659
Private,Grade 6,Music,Female,95.44,2.77,0.964
Charter,Grade 6,Art,Male,80.04,3.77,0.742
Private,Grade 11,PE,Female,43.53,3.9,0.381
Public,Grade 9,Science,Male,85.26,3.1,0.85
Public,Grade 8,PE,Female,51.69,3.2,0.528
Charter,Grade 7,Music,Male,60.39,4.44,0.616
Charter,Grade 7,History,Male,59.4,7.72,0.686
Charter,Grade 6,History,Female,52.74,7.41,0.605
Charter,Grade 6,PE,Female,73.81,3.28,0.82
Charter,Grade 8,Art,Female,95.77,6.28,0.968
Public,Grade 10,Science,Female,64.55,3.41,0.642
Charter,Grade 10,PE,Female,73.63,5.74,0.668
Public,Grade 10,Science,Female,47.15,7.65,0.564
Charter,Grade 9,English,Female,68.99,1.7,0.773
Public,Grade 6,Music,Female,91.84,5.71,0.846
Private,Grade 7,Math,Female,64.33,1.07,0.729
Charter,Grade 7,Art,Female,86.98,1.38,0.77
Charter,Grade 10,Science,Female,83.08,7.37,0.88
Private,Grade 8,Music,Female,90.36,2.07,0.827
Private,Grade 10,English,Male,58.29,7.41,0.539
Private,Grade 9,Music,Female,87.32,3.66,0.795
Public,Grade 8,Science,Male,91.39,6.92,0.894
Charter,Grade 7,History,Female,50,3.4,0.526
Charter,Grade 7,Science,Female,87.47,7.7,0.813
Charter,Grade 11,History,Male,80.05,0.68,0.728
Charter,Grade 6,PE,Female,68.99,3.17,0.659
Charter,Grade 7,Computer Science,Female,57.52,7.45,0.526
Public,Grade 6,PE,Female,93,3.48,0.846
Private,Grade 10,Computer Science,Male,84.58,2.85,0.877
Private,Grade 11,Art,Female,57.5,6.01,0.557
Charter,Grade 7,Math,Male,52.69,4.93,0.588
Private,Grade 8,Computer Science,Female,41.66,4.06,0.343
Charter,Grade 10,PE,Male,54.61,0.51,0.466
Charter,Grade 11,Music,Female,45.4,0.82,0.402
Public,Grade 8,Science,Male,43.47,6.23,0.497
Charter,Grade 8,Computer Science,Female,91.61,7.99,0.836
Private,Grade 6,History,Female,72.17,7.21,0.719
Charter,Grade 8,PE,Female,72.73,6.29,0.639
Charter,Grade 10,PE,Male,52.03,4.73,0.564
Public,Grade 6,PE,Male,50.11,1.66,0.475
Charter,Grade 7,English,Female,80.58,2.6,0.843
Public,Grade 10,History,Male,95.98,0.88,1
Private,Grade 10,Art,Female,91.73,6.73,0.975
Private,Grade 10,Art,Female,40.8,3.84,0.363
Charter,Grade 10,Art,Male,96.43,1.65,0.985
Charter,Grade 11,Math,Female,84.35,5.57,0.899
Private,Grade 10,Math,Female,43.12,2.12,0.479
Public,Grade 10,Computer Science,Female,97.32,1.43,0.979
Public,Grade 7,Science,Male,42,5.8,0.473
Private,Grade 6,Art,Male,68.24,3.08,0.645
Charter,Grade 7,Math,Female,72.9,4.61,0.775
Charter,Grade 7,History,Female,40.79,4.21,0.353
Public,Grade 7,Science,Male,95.34,5.41,1
Public,Grade 9,Music,Female,95.17,2.64,0.985
Charter,Grade 8,History,Female,75.3,2.85,0.747
Charter,Grade 6,English,Male,69.04,2,0.739
Private,Grade 10,Art,Male,97.18,2.62,0.907
Private,Grade 10,Science,Male,66.69,1.19,0.758
Charter,Grade 10,Math,Female,74.28,2.51,0.682
Public,Grade 8,English,Male,49.75,1.83,0.486
Charter,Grade 9,PE,Male,94.16,2.84,0.897
Public,Grade 6,English,Female,71.07,5.39,0.675
Private,Grade 8,Computer Science,Male,58.67,6.95,0.556
Charter,Grade 11,Science,Female,62.1,7.4,0.703
Charter,Grade 7,English,Male,95.34,5.53,0.946
Public,Grade 7,PE,Male,45.86,7.73,0.543
Public,Grade 9,Computer Science,Male,83.65,5.51,0.876
Private,Grade 9,History,Male,94,2.93,0.939
Private,Grade 7,PE,Male,80.18,2.9,0.762
Public,Grade 9,English,Male,92.87,4.78,0.992
Public,Grade 8,Math,Female,60.44,6.59,0.622
Public,Grade 8,PE,Male,86.49,5.23,0.949
Private,Grade 11,Music,Female,88.21,5.98,0.968
Public,Grade 10,Art,Male,78.74,1.81,0.858
Charter,Grade 8,PE,Male,89.4,4.67,0.983
Private,Grade 10,Art,Male,52.3,7.03,0.47
Charter,Grade 7,Computer Science,Male,57.76,7.03,0.659
Charter,Grade 11,Math,Male,67.73,0.75,0.708
Public,Grade 9,Music,Male,45.77,5.31,0.403
Private,Grade 6,Music,Male,96.74,5.97,0.944
Private,Grade 6,Computer Science,Male,82.03,5.69,0.822
Private,Grade 10,Computer Science,Female,44.49,6.98,0.346
Charter,Grade 9,Art,Female,44.35,3.71,0.409
Charter,Grade 10,PE,Male,61.74,7.77,0.561
Private,Grade 7,PE,Male,56.2,6.95,0.555
Charter,Grade 8,PE,Female,63.6,4.83,0.621
Public,Grade 9,English,Male,78.63,3.67,0.835
Charter,Grade 9,PE,Female,79.74,6.4,0.723
Public,Grade 7,Math,Female,84.69,1.09,0.905
Charter,Grade 11,Music,Female,90.24,0.56,0.978
Charter,Grade 11,Science,Female,78.31,1.27,0.717
Public,Grade 7,English,Female,71.57,4.85,0.77
Charter,Grade 7,Music,Female,96.5,3.49,1
Private,Grade 7,PE,Male,74.11,4.51,0.704
Charter,Grade 11,English,Female,68.93,3.72,0.745
Private,Grade 9,Computer Science,Male,67.64,5.25,0.718
Charter,Grade 8,English,Male,95.9,2.47,0.971
Charter,Grade 8,Science,Female,55.6,5.51,0.6
Public,Grade 7,Music,Male,95.44,7.04,0.855
Charter,Grade 10,Math,Female,66.9,2.17,0.667
Charter,Grade 10,Math,Male,98.1,3.98,0.896
Public,Grade 9,English,Male,77.37,2.77,0.811
Private,Grade 8,Computer Science,Female,62.95,2.17,0.546
Public,Grade 9,History,Female,60.92,1.02,0.62
Private,Grade 11,History,Female,98.53,3.88,0.927
Public,Grade 11,English,Female,44.99,0.85,0.456
Charter,Grade 11,Music,Female,41.01,6.94,0.332
Private,Grade 9,History,Female,67.06,5.77,0.672
Charter,Grade 7,Computer Science,Female,74.22,2.93,0.818
Public,Grade 9,Art,Male,55.99,1.12,0.634
Public,Grade 8,Music,Female,63.5,1.6,0.578
Charter,Grade 11,Math,Male,87.7,5.99,0.827
Public,Grade 11,Art,Female,80.45,0.84,0.817
Public,Grade 6,Music,Female,50.37,1.13,0.504
Charter,Grade 7,Music,Female,57.5,3.34,0.617
Public,Grade 7,English,Male,53.78,7.71,0.534
Public,Grade 11,PE,Male,80.59,3.93,0.827
Charter,Grade 9,Computer Science,Male,77.86,7.27,0.716
Public,Grade 7,Music,Female,80.56,1.06,0.748
Private,Grade 10,PE,Female,42.8,6.64,0.522
Charter,Grade 7,Art,Male,77.69,6.79,0.764
Public,Grade 11,Computer Science,Male,71.42,5.84,0.636
Charter,Grade 10,English,Female,57.92,3.54,0.488
Public,Grade 9,Math,Female,79.1,0.53,0.846
Private,Grade 10,Music,Male,71.02,4.32,0.727
Charter,Grade 9,History,Male,49.91,5.93,0.514
Public,Grade 7,PE,Male,76.47,2.53,0.712
Public,Grade 7,Computer Science,Female,88.07,6.83,0.87
Private,Grade 6,Science,Female,49.34,6.65,0.476
Charter,Grade 8,Science,Female,56.72,1.73,0.536
Private,Grade 7,Computer Science,Male,88.86,2.21,0.812
Private,Grade 8,English,Male,78.88,3.89,0.786
Charter,Grade 9,PE,Female,82.03,4.6,0.736
Private,Grade 6,PE,Female,57.15,4.1,0.521
Private,Grade 11,Math,Male,94.79,6.54,0.865
Private,Grade 6,English,Female,46.32,7.37,0.376
Private,Grade 11,Art,Female,77.5,6.32,0.757
Public,Grade 6,Science,Male,81.09,3.39,0.842
Private,Grade 7,English,Male,58.19,2.07,0.577
Charter,Grade 10,Science,Female,48.06,2.7,0.57
Public,Grade 7,English,Male,79.91,7.08,0.888
Charter,Grade 11,Science,Male,61.69,4.48,0.539
Private,Grade 6,English,Male,61.78,6.93,0.559
Public,Grade 9,Computer Science,Male,81.47,7.15,0.848
Charter,Grade 8,English,Female,71.86,5.53,0.748
Charter,Grade 8,History,Male,94.25,1.11,0.991
Public,Grade 7,History,Male,69.16,6.08,0.727
Public,Grade 10,History,Male,90.45,7.38,0.886
Public,Grade 9,Music,Female,85.86,2.71,0.829
Private,Grade 9,History,Female,86.61,4.69,0.802
Public,Grade 9,English,Male,86.11,6.59,0.957
Private,Grade 8,Science,Male,67.65,1.6,0.747
Private,Grade 6,PE,Male,97.19,3.95,0.944
Private,Grade 6,Science,Female,68.03,4.98,0.702
Private,Grade 6,History,Male,75.3,2.15,0.808
Public,Grade 7,Music,Female,72.23,4.39,0.634
Public,Grade 11,English,Male,81.94,3.02,0.807
Private,Grade 8,Music,Female,59.17,7.13,0.686
Charter,Grade 6,Art,Female,62.9,5.68,0.594
Private,Grade 10,Computer Science,Male,51.56,2.25,0.441
Private,Grade 11,PE,Female,46.95,2.44,0.524
Charter,Grade 7,History,Male,99.18,5.15,1
Public,Grade 6,History,Female,67.59,0.9,0.749
Private,Grade 9,History,Male,47.61,3.81,0.449
Public,Grade 8,History,Female,82.05,4.22,0.795
Private,Grade 7,Music,Male,58.68,6.8,0.548
Public,Grade 7,Science,Female,77.26,0.54,0.87
Private,Grade 8,Science,Female,71.64,3.95,0.813
Private,Grade 6,Art,Male,75.63,4.14,0.813
Public,Grade 11,Art,Male,41.54,1.76,0.319
Charter,Grade 7,Computer Science,Female,72.14,3.72,0.688
Public,Grade 10,Science,Male,97.15,4.9,0.883
Private,Grade 9,PE,Female,72.16,2.98,0.729
Charter,Grade 6,English,Female,49.29,4.91,0.58
Private,Grade 11,Art,Male,52.66,5.41,0.486
Charter,Grade 9,Science,Male,72.05,1.56,0.703
Charter,Grade 7,Computer Science,Female,83.73,4.9,0.892
Charter,Grade 6,PE,Female,94.74,2.3,0.925
Private,Grade 10,English,Female,41.78,2.26,0.478
Charter,Grade 8,Math,Male,52.49,5.19,0.439
Private,Grade 10,History,Male,82.63,0.92,0.776
Public,Grade 6,Math,Female,97.98,3.96,0.987
Charter,Grade 9,Science,Female,56.74,0.97,0.617
Private,Grade 8,Art,Male,53.78,6.2,0.488
Charter,Grade 7,Art,Male,78.25,6.36,0.724
Private,Grade 11,Science,Male,75.53,2.2,0.758
Private,Grade 8,Computer Science,Female,94.56,4.18,0.853
Public,Grade 9,Math,Male,66.76,2.43,0.767
Public,Grade 11,Music,Female,93.44,1.58,0.977
Private,Grade 11,History,Male,88.92,6.8,0.833
Charter,Grade 8,Science,Female,54.79,7.37,0.508
Charter,Grade 7,English,Female,75.63,1.17,0.678
Public,Grade 10,History,Male,57.46,6.43,0.577
Private,Grade 10,Music,Male,76.53,1.16,0.849
Public,Grade 11,Math,Male,47.42,4.96,0.464
Charter,Grade 10,Science,Male,49.86,7.92,0.59
Public,Grade 8,Music,Female,52.46,4.35,0.456
Public,Grade 7,Science,Male,54.96,1.66,0.517
Charter,Grade 9,English,Female,60.66,4.53,0.535
Public,Grade 10,English,Male,79.05,1.38,0.847
Private,Grade 7,PE,Female,77.6,7.73,0.796
Charter,Grade 9,PE,Female,61.68,7.41,0.699
Public,Grade 8,English,Female,95.16,4.45,0.924
Charter,Grade 7,English,Female,99.42,7.11,1
Private,Grade 6,Math,Male,89.76,6.36,0.86
Charter,Grade 8,Music,Female,86.29,3.81,0.878
Private,Grade 9,Music,Female,90.79,2.16,0.982
Charter,Grade 6,Science,Female,70.12,4.34,0.723
Charter,Grade 6,Music,Female,80.6,3.12,0.713
Public,Grade 10,Music,Male,67.15,7.98,0.691
Private,Grade 6,History,Male,57.17,3.34,0.581
Private,Grade 7,Music,Male,45.73,1.39,0.551
Charter,Grade 7,Science,Female,85.65,0.92,0.851
Private,Grade 11,Music,Female,57.27,1.84,0.665
Private,Grade 9,Computer Science,Female,52.19,6.62,0.446
Private,Grade 6,Math,Female,96.45,0.91,0.868
Private,Grade 7,English,Male,83.32,4.39,0.899
Private,Grade 7,PE,Female,95.66,7.45,1
Private,Grade 9,Art,Female,85.93,3.24,0.9
Charter,Grade 7,English,Male,96.07,3.1,0.882
Public,Grade 9,Computer Science,Female,87.91,5.54,0.961
Private,Grade 8,Computer Science,Female,94.48,6.77,0.931
Private,Grade 11,Music,Male,57.12,3.46,0.54
Public,Grade 10,Computer Science,Male,67.87,5.84,0.777
Public,Grade 10,PE,Female,87.81,2.81,0.905
Private,Grade 8,History,Male,54.18,4.45,0.541
Charter,Grade 6,Computer Science,Male,96.14,0.63,1
Public,Grade 6,Computer Science,Male,71.01,6.08,0.686
Charter,Grade 6,Math,Male,41.56,7.81,0.497
Charter,Grade 9,Math,Female,97.49,4.57,1
Public,Grade 10,Math,Female,71.05,6.81,0.651
Public,Grade 10,Art,Male,47.6,1.67,0.388
Private,Grade 8,History,Male,74.53,5.89,0.651
Charter,Grade 6,Math,Female,62.28,2.06,0.68
Charter,Grade 7,Science,Male,55.76,2.13,0.476
Private,Grade 10,Computer Science,Male,40.22,3.66,0.411
Public,Grade 8,Computer Science,Female,59.31,3.47,0.525
Charter,Grade 10,Music,Female,43.23,3.18,0.476
Public,Grade 9,Music,Female,44.68,7.77,0.5
Charter,Grade 11,Science,Female,91.04,4.34,0.981
Private,Grade 11,Music,Female,88.21,7.59,0.854
Private,Grade 9,PE,Male,95.95,2.07,0.969
Public,Grade 11,Computer Science,Male,97.61,7.35,0.946
Charter,Grade 7,English,Male,60.19,0.91,0.591
Public,Grade 10,Science,Male,43.49,1.59,0.449
Private,Grade 8,Music,Female,81.23,4.33,0.74
Private,Grade 7,English,Male,46.82,2.45,0.39
Charter,Grade 10,Math,Female,87.39,1.12,0.842
Charter,Grade 11,Music,Male,43.37,6.81,0.345
Public,Grade 7,Math,Male,78.36,5.36,0.799
Charter,Grade 7,History,Male,99.13,7.12,1
Charter,Grade 8,History,Male,99.92,3.1,1
Public,Grade 11,History,Female,63.18,6.06,0.726
Public,Grade 9,Art,Female,82.94,5.3,0.775
Private,Grade 11,Math,Male,87.76,5.67,0.852
Private,Grade 10,Music,Male,70.6,5.33,0.796
Private,Grade 7,Science,Female,45.95,2.57,0.473
Charter,Grade 7,English,Female,59.57,5.51,0.603
Charter,Grade 9,Art,Male,90.09,5.05,0.931
Public,Grade 11,Science,Male,80.18,5.91,0.715
Charter,Grade 9,Computer Science,Female,47.78,6.26,0.471
Public,Grade 8,History,Female,98.8,7.98,1
Charter,Grade 9,English,Female,89.33,6.39,0.961
Public,Grade 10,Computer Science,Female,85.42,5.82,0.813
Charter,Grade 8,Computer Science,Male,92.39,1.59,0.925
Public,Grade 11,Music,Female,94.07,1.74,1
Private,Grade 7,History,Female,91.28,5.82,0.974
Public,Grade 6,Computer Science,Female,77.81,1.77,0.716
Private,Grade 11,History,Male,60.99,2.7,0.641
Private,Grade 8,Music,Female,56.06,8,0.542
Private,Grade 6,Art,Female,46.47,3.15,0.498
Public,Grade 10,PE,Male,49.18,2.45,0.485
Public,Grade 11,Music,Male,90.07,1.24,0.927
Public,Grade 11,Science,Male,65.41,4.94,0.689
Charter,Grade 9,History,Female,82.38,0.79,0.822
Public,Grade 7,Computer Science,Female,47.86,1.78,0.501
Private,Grade 10,Science,Male,97.76,6.56,0.917
Charter,Grade 11,Music,Female,73.25,5.04,0.753
Public,Grade 7,History,Male,94.95,4.7,0.98
Charter,Grade 10,Music,Female,60.17,5.25,0.598
Private,Grade 9,English,Female,96.77,5.14,1
Charter,Grade 6,History,Female,66.22,2.61,0.594
Charter,Grade 7,PE,Female,54.3,5.16,0.478
Charter,Grade 6,Art,Male,64.42,4.17,0.695
Charter,Grade 11,Math,Male,67.37,3,0.715
Charter,Grade 11,Computer Science,Male,95.59,3.85,0.92
Public,Grade 6,Music,Male,73.77,1.14,0.658
Charter,Grade 11,Science,Male,62.48,2.59,0.531
Private,Grade 6,Computer Science,Male,55.09,5.44,0.611
Public,Grade 8,History,Male,88.51,7.72,0.95
Charter,Grade 9,History,Female,75.34,7.79,0.814
Public,Grade 11,Science,Male,67.44,6.36,0.725
Public,Grade 7,PE,Female,69.84,3.93,0.608
Charter,Grade 9,Computer Science,Male,83.69,5.85,0.912
Charter,Grade 7,Math,Male,40.24,1.46,0.445
Private,Grade 7,Computer Science,Male,99.96,5.85,0.924
Charter,Grade 7,Art,Male,51.5,1.94,0.448
Public,Grade 7,Art,Female,87.33,2.69,0.828
Public,Grade 7,Computer Science,Female,68.07,5.73,0.614
Charter,Grade 8,History,Female,45.23,2,0.448
Charter,Grade 8,English,Female,90.54,7.59,0.995
Private,Grade 7,Science,Female,77.29,5.6,0.734
Charter,Grade 11,History,Male,53.17,3.61,0.502
Public,Grade 6,English,Male,55.23,7.2,0.604
Public,Grade 7,Art,Female,89.94,2.06,0.996
Private,Grade 8,Science,Male,49.49,2.29,0.468
Private,Grade 6,PE,Male,93.92,0.62,0.867
Public,Grade 7,Math,Female,66.85,5.41,0.757
Private,Grade 8,Math,Male,71.86,5.63,0.721
Private,Grade 7,Art,Male,88.24,4.18,0.866
Public,Grade 6,Computer Science,Male,97.51,6.06,0.967
Charter,Grade 9,Science,Male,80.41,1.49,0.895
Private,Grade 10,Music,Male,96.01,2.42,1
Public,Grade 8,Art,Female,73.64,7.95,0.766
Charter,Grade 10,Science,Male,71.11,1.23,0.787
Private,Grade 9,PE,Female,94.92,2.02,1
Charter,Grade 10,Computer Science,Female,42.04,1.78,0.498
Charter,Grade 7,Computer Science,Male,63.02,2.54,0.562
Public,Grade 7,History,Male,59.97,5.73,0.646
Private,Grade 6,Art,Female,67.85,0.87,0.586
Charter,Grade 8,Computer Science,Male,49.43,3.43,0.477
Public,Grade 8,Math,Female,96.64,5.8,0.988
Public,Grade 9,Math,Male,66.04,2.3,0.648
Private,Grade 9,Art,Female,61.48,6.36,0.612
Private,Grade 7,Music,Female,80.61,5.98,0.808
Charter,Grade 6,English,Male,57.68,3.15,0.517
Charter,Grade 9,Science,Male,70.06,5.84,0.632
Charter,Grade 6,Music,Female,72.33,6.36,0.746
Private,Grade 7,PE,Female,92.68,3.66,1
Public,Grade 6,PE,Female,81.35,2.79,0.905
Public,Grade 9,History,Female,81.1,5.12,0.84
Charter,Grade 8,English,Male,59.34,3.2,0.644
Charter,Grade 10,Math,Female,68.63,3.09,0.714
Public,Grade 9,Computer Science,Male,68.55,4.3,0.774
Charter,Grade 8,Computer Science,Male,52.06,3.94,0.541
Charter,Grade 11,History,Male,88.36,5.39,0.968
Charter,Grade 10,Math,Male,61.32,4.08,0.514
Charter,Grade 9,Science,Female,72,6.89,0.624
Charter,Grade 6,Math,Male,41.88,4.03,0.328
Private,Grade 7,Science,Male,73.22,3.43,0.776
Charter,Grade 10,Math,Female,72.51,2.52,0.668
Private,Grade 7,Music,Male,67.13,2.51,0.703
Charter,Grade 10,Computer Science,Female,62.19,6.51,0.635
Private,Grade 7,Math,Male,58.65,7.8,0.545
Charter,Grade 7,Art,Female,91.68,2.57,0.848
Charter,Grade 8,Computer Science,Male,92.87,3.72,0.832
Private,Grade 11,PE,Male,65.61,6.47,0.623
Charter,Grade 10,Computer Science,Female,77.37,3.57,0.75
Private,Grade 10,English,Male,81.68,7.58,0.881
Public,Grade 11,History,Female,76.36,5.46,0.794
Public,Grade 9,Science,Female,47.91,7.19,0.406
Public,Grade 10,Math,Female,57.53,5.07,0.509
Charter,Grade 10,Computer Science,Male,47.86,0.96,0.523
Charter,Grade 6,Art,Female,76.29,0.58,0.854
Charter,Grade 11,Music,Male,45.96,4.75,0.517
Charter,Grade 7,History,Female,82.8,2.68,0.739
Private,Grade 7,Music,Male,65.64,2.18,0.754
Private,Grade 8,PE,Male,44.09,4.43,0.52
Charter,Grade 10,PE,Male,65.79,5.29,0.564
Public,Grade 11,Math,Male,88.74,2.52,0.819
Private,Grade 6,Math,Female,60.08,5.49,0.556
Public,Grade 7,Computer Science,Male,85.13,4.02,0.777
Charter,Grade 7,Computer Science,Female,42.74,5.49,0.501
Private,Grade 10,Art,Male,67.59,4.28,0.699
Private,Grade 11,Music,Male,50.39,7.42,0.57
Public,Grade 11,Art,Male,60.99,1.74,0.638
Charter,Grade 6,Science,Male,83.56,0.55,0.893
Public,Grade 8,Computer Science,Male,52.22,3.18,0.426
Public,Grade 6,PE,Female,93.3,6.27,0.914
Private,Grade 9,Art,Male,61.98,7.05,0.579
Public,Grade 8,English,Male,89.48,6.98,0.859
Charter,Grade 11,PE,Female,42.3,1.35,0.499
Public,Grade 9,PE,Male,90.59,6.69,0.899
Public,Grade 8,Music,Female,53.3,2.34,0.521
Public,Grade 6,Art,Male,61.81,6.05,0.636
Charter,Grade 11,History,Female,96.25,4.96,0.972
Private,Grade 8,PE,Female,43.9,3.7,0.439
Private,Grade 8,PE,Female,83.09,7.72,0.828
Private,Grade 9,Art,Male,45.49,3.62,0.535
Private,Grade 9,Music,Male,90.12,4.61,0.83
Charter,Grade 6,Science,Female,43.39,3.21,0.464
Charter,Grade 10,History,Female,52.2,6.31,0.553
Charter,Grade 9,Computer Science,Male,94.71,7.09,0.855
Private,Grade 9,Art,Female,98.73,1.71,1
Charter,Grade 11,Math,Male,50.09,3.69,0.407
Private,Grade 6,Computer Science,Male,88.36,1.68,0.83
Public,Grade 11,Music,Female,62.83,2.66,0.609
Private,Grade 7,PE,Female,84.2,7.77,0.906
Private,Grade 11,PE,Female,64.09,7.33,0.66
Public,Grade 7,English,Female,63.22,7.78,0.676
Charter,Grade 7,Math,Female,61.15,2.08,0.649
Public,Grade 10,Math,Female,43.59,1.19,0.463
Private,Grade 11,Math,Male,42.62,4.25,0.418
Public,Grade 8,Science,Male,63.95,3.02,0.592
Charter,Grade 10,Science,Male,63.12,5.36,0.684
Charter,Grade 11,Science,Male,50.07,6.6,0.595
Charter,Grade 8,Art,Male,55.05,3.99,0.507
Public,Grade 6,Computer Science,Male,84.93,1.25,0.791
Public,Grade 7,English,Male,57.53,3.85,0.617
Public,Grade 8,History,Male,92.18,5.27,0.828
Private,Grade 7,PE,Female,52.25,2.88,0.614
Charter,Grade 10,PE,Male,60.25,6.66,0.634
Public,Grade 10,Computer Science,Male,74.91,1.88,0.79
Public,Grade 11,Computer Science,Male,84.09,4.83,0.787
Public,Grade 8,Music,Male,96.52,3.73,1
Public,Grade 6,English,Male,60.76,7.79,0.537
Charter,Grade 11,Computer Science,Male,72.78,6.37,0.762
Private,Grade 9,PE,Female,88.48,5.44,0.787
Private,Grade 7,History,Male,97.23,5.7,1
Private,Grade 8,Math,Male,85.01,1.79,0.838
Private,Grade 11,Science,Female,54.57,3.33,0.449
Private,Grade 9,History,Male,98.08,5.96,0.951
Public,Grade 9,Computer Science,Male,82.38,5.78,0.872
Charter,Grade 7,English,Male,85.38,4.27,0.921
Charter,Grade 7,Art,Female,73.03,6.29,0.773
Private,Grade 7,English,Male,56.44,3.54,0.623
Charter,Grade 10,Math,Male,82.61,3.02,0.835
Private,Grade 6,History,Female,72.4,2.98,0.664
Charter,Grade 9,PE,Female,88.25,1.56,0.945
Charter,Grade 8,Computer Science,Female,72.7,0.65,0.67
Public,Grade 9,Music,Male,45.4,1.64,0.488
Private,Grade 6,History,Male,70.52,3.81,0.664
Private,Grade 11,PE,Female,40.18,3.64,0.467
Public,Grade 11,English,Male,40.16,1.31,0.34
Charter,Grade 11,Computer Science,Male,83.88,7.95,0.802
Public,Grade 9,History,Female,78.47,7.54,0.844
Private,Grade 8,English,Male,41.83,1.64,0.506
Public,Grade 7,English,Male,54.44,2.11,0.454
Public,Grade 10,English,Female,66.25,1.49,0.674
Private,Grade 10,Art,Female,48.14,7.45,0.479
Charter,Grade 8,PE,Female,76.65,6.3,0.864
Private,Grade 7,Math,Female,50.35,6.82,0.446
Charter,Grade 11,PE,Male,78.89,5.99,0.862
Public,Grade 11,Math,Female,87.2,2.77,0.873
Private,Grade 10,History,Female,88.18,6.83,0.977
Private,Grade 6,Science,Female,52.69,6.21,0.584
Public,Grade 11,History,Female,54.32,2.9,0.542
Charter,Grade 8,English,Female,75.49,4.66,0.792
Charter,Grade 6,History,Male,93.55,4.26,0.89
Public,Grade 7,Math,Female,97.27,4.6,0.918
Private,Grade 9,Math,Female,68.12,4.33,0.737
Charter,Grade 10,Music,Female,46.17,1.92,0.454
Public,Grade 9,History,Female,45.08,6.99,0.521
Public,Grade 10,Math,Male,71.74,5.9,0.742
Public,Grade 11,Computer Science,Female,55.99,0.59,0.536
Charter,Grade 6,Art,Male,76.6,3.36,0.856
Public,Grade 11,PE,Male,77.35,7.49,0.864
Charter,Grade 8,Math,Male,87.15,3.72,0.889
Private,Grade 9,Music,Female,62.37,6.74,0.53
Public,Grade 9,Art,Male,66.11,4.63,0.703
Public,Grade 9,English,Male,95.75,0.69,0.891
Public,Grade 11,Math,Female,57.84,5.83,0.505
Charter,Grade 10,History,Male,47.18,4.13,0.542
Charter,Grade 7,Computer Science,Male,83.79,6,0.836
Private,Grade 11,Math,Female,75.79,5.27,0.731
Private,Grade 9,Computer Science,Female,82.16,6.06,0.788
Private,Grade 9,Computer Science,Female,89.76,5.8,0.804
Public,Grade 7,Computer Science,Female,83.4,4.49,0.743
Charter,Grade 11,English,Female,75.46,5.21,0.73
Private,Grade 10,Music,Female,68.31,2.84,0.723
Public,Grade 7,Math,Female,44.81,4.51,0.454
Public,Grade 11,Science,Female,47.91,2.41,0.425
Charter,Grade 6,Computer Science,Female,51.59,3.91,0.561
Private,Grade 10,Art,Male,96.08,1.93,0.935
Charter,Grade 9,Science,Female,86,3.28,0.783
Public,Grade 7,Art,Female,92.76,7.75,0.84
